name;link;level
Cuisine d'Asie du Sud-Est;restaurants_bars/southeast_asian_cuisine;1
Cuisine européenne;restaurants_bars/european_cuisine;1
Cuisine japonaise;restaurants_bars/japanese_cuisine;1
Cuisine méditerranéenne;restaurants_bars/mediterranean_cuisine;1
Restaurants spécialisés;restaurants_bars/general_restaurants;1
Végétarien & régime;restaurants_bars/vegetarian_diet;1
Aides physiques;health_medical/physical_aids;1
Cliniques;health_medical/clinics;1
Diagnostic & tests;health_medical/diagnostics_testing;1
Docteurs & chirurgiens;health_medical/doctors_surgeons;1
Équipement médical;health_medical/health_equipment;1
Hôpital & urgences;health_medical/hospital_emergency;1
Maternité & enfants;health_medical/pregnancy_children;1
Médecins spécialistes;health_medical/medical_specialists;1
Pharmacie & médicaments;health_medical/pharmacy_medicine;1
Santé mentale;health_medical/mental_health;1
Services dentaires;health_medical/dental_services;1
Thérapie & santé pour personnes âgées;health_medical/therapy_senior_health;1
Vue & audition;health_medical/vision_hearing;1
Énergie & électricité;utilities/energy_power;1
Pétrole & carburant;utilities/oil_fuel;1
Traitement des eaux;utilities/water_utilities;1
Artisan;home_services/craftsman;1
Déménagement & entreposage;home_services/moving_storage;1
Gardiennage de maison et sécurité;home_services/house_sitting_security;1
Plomberie & assainissement;home_services/plumbing_sanitation;1
Prestataires de service de nettoyage;home_services/cleaning_service_providers;1
Prestataires de services de réparation;home_services/repair_service_providers;1
Services à domicile;home_services/house_services;1
Administration & services;business_services/administration_services;1
Associations & centres;business_services/associations_centers;1
Commerce de gros;business_services/wholesale;1
Import & export;business_services/import_export;1
Impression & design graphique;business_services/print_graphic_design;1
Impression & design graphique;business_services/research_development;1
Informatique & communication;business_services/it_communication;1
Locaux & fournitures de bureau;business_services/office_space_supplies;1
Ressources humaines & recrutement;business_services/hr_recruiting;1
Transport & logistique;business_services/shipping_logistics;1
Ventes & marketing;business_services/sales_marketing;1
Avocats & juristes;legal_services_government/lawyers_attorneys;1
Bibliothèques & archives;legal_services_government/libraries_archives;1
Département gouvernemental;legal_services_government/government_department;1
Département municipal;legal_services_government/municipal_department;1
Douane & péage;legal_services_government/customs_toll;1
Maintien de l'ordre public;legal_services_government/law_enforcement;1
Prestataires de services juridiques;legal_services_government/legal_service_providers;1
Services d'enregistrement;legal_services_government/registration_services;1
Emploi & carrière;public_local_services/employment_career;1
Enfants & famille;public_local_services/kids_family;1
Funérailles & mémorial;public_local_services/funeral_memorial;1
Gestion des déchets;public_local_services/waste_management;1
Militaire & ancien combattant;public_local_services/military_veteran;1
Nature & environnement;public_local_services/nature_environment;1
Organisations professionnelles;public_local_services/professional_organizations;1
Refuges & centres d'accueil;public_local_services/shelters_homes;1
Services publics et bien-être;public_local_services/public_services_welfare;1
Sociétés de logement;public_local_services/housing_associations;1
Accessoires;shopping_fashion/accessories;1
Bijoux & montres;shopping_fashion/jewelry_watches;1
Centres commerciaux & marchés;shopping_fashion/malls_marketplaces;1
Costume & mariage;shopping_fashion/costume_wedding;1
Location & Réparation de vêtements;shopping_fashion/clothing_rental_repair;1
Vêtements & sous-vêtements;shopping_fashion/clothing_underwear;1
Arts martiaux & lutte;sports/martial_arts_wrestling;1
Danse & gymnastique;sports/dancing_gymnastics;1
Équipement & associations sportives;sports/equipment_associations;1
Fitness & haltérophilie;sports/fitness_weight_lifting;1
Golf & utimate;sports/golf_ultimate;1
Jeux de balle;sports/ball_games;1
Natation & sports aquatiques;sports/swimming_water_sports;1
Sports de tir & sports de cible;sports/shooting_target_sports;1
Sports en extérieur & sports d'hiver;sports/outdoor_winter_sports;1
Sports extrêmes;sports/extreme_sports;1
Tennis & sports de raquette;sports/tennis_racquet_sports;1
Activités & excursions;travel_vacation/activities_tours;1
Agences de voyage;travel_vacation/travel_agencies;1
Compagnies aériennes & aéroports;travel_vacation/airlines_air_travel;1
Hébergements & logements de vacances;travel_vacation/accomodations_lodging;1
Hôtels;travel_vacation/hotels;1
Aéroports & parking;vehicles_transportation/airports_parking;1
Autres véhicules & remorques;vehicles_transportation/other_vehicles_trailers;1
Location de véhicules;vehicles_transportation/vehical_rental;1
Motos & sports motorisés;vehicles_transportation/motorcycle_powersports;1
Pièces automobiles détachées & roues;vehicles_transportation/auto_parts_wheels;1
Réparation de véhicules & carburant;vehicles_transportation/vehicle_repair_fuel;1
Taxis & transports publics;vehicles_transportation/taxis_public_transport;1
Transport aérien & nautique;vehicles_transportation/air_water_transport;1
Vélos;vehicles_transportation/bicycles;1
Voitures & camions;vehicles_transportation/cars_trucks;1
Agriculteur;food_beverages_tobacco/agriculture_produce/crop_grower;2
Coopérative agricole;food_beverages_tobacco/agriculture_produce/agricultural_cooperative;2
Ferme;food_beverages_tobacco/agriculture_produce/farm;2
Fournisseur de services agricoles;food_beverages_tobacco/agriculture_produce/agricultural_service_supply_agency;2
Grossiste de produits;food_beverages_tobacco/agriculture_produce/produce_wholesaler;2
Magasin de produits de la ferme;food_beverages_tobacco/agriculture_produce/farm_shop;2
Marché alimentaire;food_beverages_tobacco/agriculture_produce/produce_market;2
Miellerie;food_beverages_tobacco/agriculture_produce/honey_farm;2
Production agricole;food_beverages_tobacco/agriculture_produce/agricultural_production;2
Produits laitiers;food_beverages_tobacco/agriculture_produce/dairy;2
Service agricole;food_beverages_tobacco/agriculture_produce/agricultural_service;2
Vignoble;food_beverages_tobacco/agriculture_produce/vineyard;2
Bar à bières;food_beverages_tobacco/beer_wine/beer_hall;2
Brasserie;food_beverages_tobacco/beer_wine/brewery;2
Cave à vins;food_beverages_tobacco/beer_wine/wine_cellar;2
Caviste;food_beverages_tobacco/beer_wine/wine_store;2
Club d'œnologie;food_beverages_tobacco/beer_wine/wine_club;2
Exploitation viticole;food_beverages_tobacco/beer_wine/winery;2
Fournisseur de bières;food_beverages_tobacco/beer_wine/beer_distributor;2
Grossiste en vins;food_beverages_tobacco/beer_wine/wine_wholesaler;2
Microbrasserie;food_beverages_tobacco/beer_wine/brewpub;2
Boutique de boissons non alcoolisées;food_beverages_tobacco/beverages_liquor/soft_drinks_shop;2
Distillerie;food_beverages_tobacco/beverages_liquor/distillery;2
Distributeur de boissons;food_beverages_tobacco/beverages_liquor/beverage_distributor;2
Fabricant d'alcool;food_beverages_tobacco/beverages_liquor/alcohol_manufacturer;2
Fontaine à eau potable;food_beverages_tobacco/beverages_liquor/drinking_water_fountain;2
Grossiste en vins et spiritueux;food_beverages_tobacco/beverages_liquor/liquor_wholesaler;2
Magasin d'alcool;food_beverages_tobacco/beverages_liquor/alcohol_store;2
Magasin de liqueurs;food_beverages_tobacco/beverages_liquor/state_liquor_store;2
Magasin de vins et spiritueux;food_beverages_tobacco/beverages_liquor/liquor_store;2
Traiteur;food_beverages_tobacco/beverages_liquor/catering_food_and_drink_supplies;2
Vente en gros d'eau minérale;food_beverages_tobacco/beverages_liquor/mineral_water_wholesale;2
Artisan chocolatier;food_beverages_tobacco/candy_chocolate/chocolate_artisan;2
Confiserie;food_beverages_tobacco/candy_chocolate/confectionery;2
Magasin de bonbons;food_beverages_tobacco/candy_chocolate/candy_store;2
Boulangerie;food_beverages_tobacco/bakery_pastry/bakery;2
Grossiste en boulangerie;food_beverages_tobacco/bakery_pastry/wholesale_bakery;2
Magasin de cookies;food_beverages_tobacco/bakery_pastry/cookie_shop;2
Magasin de gâteaux;food_beverages_tobacco/bakery_pastry/cake_shop;2
Magasin de matériel de décoration de gâteaux;food_beverages_tobacco/bakery_pastry/cake_decorating_equipment_shop;2
Magasin de pâtisseries;food_beverages_tobacco/bakery_pastry/pastry_shop;2
Pâtisserie;food_beverages_tobacco/bakery_pastry/patisserie;2
Boutique de café;food_beverages_tobacco/coffee_tea/coffee_store;2
Distributeur de café;food_beverages_tobacco/coffee_tea/coffee_vending_machine;2
Fabricant de thé;food_beverages_tobacco/coffee_tea/tea_manufacturer;2
Fournisseur de machine à café;food_beverages_tobacco/coffee_tea/coffee_machine_supplier;2
Grossiste de thé;food_beverages_tobacco/coffee_tea/tea_wholesaler;2
Magasin de café;food_beverages_tobacco/coffee_tea/coffee_shop;2
Magasin de thé;food_beverages_tobacco/coffee_tea/tea_store;2
Marchand de thé;food_beverages_tobacco/coffee_tea/tea_market_place;2
Salon de thé;food_beverages_tobacco/coffee_tea/tea_house;2
Salon de thé traditionnel;food_beverages_tobacco/coffee_tea/traditional_teahouse;2
Torréfacteurs;food_beverages_tobacco/coffee_tea/coffee_roasters;2
Fournisseur de paniers-repas;food_beverages_tobacco/lunch_catering/box_lunch_supplier;2
Livraison de repas à domicile;food_beverages_tobacco/lunch_catering/meal_delivery;2
